Cell_area_measured,Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_deposition_procedure,Perovskite_dimension_list_of_layers,Perovskite_composition_a_ions,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions,Perovskite_composition_c_ions_coefficients,Perovskite_composition_inorganic,Perovskite_composition_leadfree,Perovskite_band_gap,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_procedure,Perovskite_deposition_aggregation_state_of_reactants,Perovskite_deposition_synthesis_atmosphere,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_quenching_induced_crystallisation,Perovskite_deposition_quenching_media,Perovskite_deposition_quenching_media_volume,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Perovskite_deposition_solvent_annealing,HTL_stack_sequence,HTL_thickness_list,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_thickness_list,Backcontact_deposition_procedure,Backcontact_deposition_synthesis_atmosphere,Encapsulation,Encapsulation_stack_sequence,Encapsulation_edge_sealing_materials,Encapsulation_atmosphere_for_encapsulation,JV_measured,JV_average_over_n_number_of_cells,JV_test_atmosphere,JV_light_intensity,JV_light_spectra,JV_light_masked_cell,JV_default_PCE,cluster_label
0.1,16.9513781,16.88191,16.71248436,16.52694415,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,17.0328884,16.84738134,16.91421255,16.57609756,16.53091314,FALSE,16.61570326,16.89333544,70; 100,10; 10,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.01744262,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,15.4,1
0.1,16.9513781,16.88191,16.69403545,17.08876866,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,16.23034602,16.84738134,16.70947619,16.57609756,16.53091314,FALSE,16.61570326,16.89333544,70; 115,2; 4,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.85584454,100,16.90864407,FALSE,16.8,1
0.09,16.9513781,16.88191,16.69403545,17.08876866,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,17.0328884,16.84738134,16.87305046,17.48366755,16.78044955,FALSE,16.61570326,16.89333544,70; 100,10; 30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,16.16,1
0.09,16.9513781,16.88191,16.69403545,17.08876866,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,17.0328884,16.84738134,16.87305046,17.48366755,16.78044955,FALSE,16.61570326,16.89333544,70; 100,10; 30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,17.59,1
0.09,16.9513781,16.88191,16.69403545,17.08876866,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,17.0328884,16.84738134,16.87305046,17.48366755,16.78044955,FALSE,16.61570326,16.89333544,70; 100,10; 30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,16.13,1
0.09,16.9513781,16.88191,16.69403545,17.08876866,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,17.0328884,16.84738134,16.87305046,17.48366755,16.78044955,FALSE,16.61570326,16.89333544,70; 100,10; 30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,12,16.96681304,100,16.90864407,FALSE,15.52,1
0.09,16.9513781,16.88191,16.69403545,17.08876866,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,17.0328884,16.84738134,16.87305046,17.48366755,16.78044955,FALSE,16.61570326,16.89333544,70; 100,10; 30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,12,16.96681304,100,16.90864407,FALSE,16.71,1
0.09,16.9513781,16.88191,16.69403545,17.08876866,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,17.0328884,16.84738134,16.87305046,17.48366755,16.78044955,FALSE,16.61570326,16.89333544,70; 100,10; 30,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,12,16.96681304,100,16.90864407,FALSE,15.45,1
0.1,16.9513781,16.88191,16.69403545,16.76789843,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,17.0328884,16.84738134,16.91421255,17.48366755,16.49361988,FALSE,16.61570326,16.89333544,40; 100,3; 30,FALSE,16.97250735,16.43960619,16.88820148,16.42127215,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.85584454,100,16.90864407,FALSE,16.66,1
0.1,16.9513781,16.88191,16.69403545,17.08876866,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,16.23034602,16.84738134,16.70947619,16.57609756,16.53091314,FALSE,16.61570326,16.89333544,70; 70,15; 5,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,16.59596535,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.85584454,100,16.90864407,FALSE,14.56,1
0.1,16.9513781,16.88191,16.69403545,17.08876866,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,17.0328884,16.84738134,16.91421255,17.48366755,17.73210198,FALSE,16.61570326,16.89333544,70; 100,10; 10,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.85584454,100,16.90864407,FALSE,17.28,1
0.1,16.9513781,16.88191,16.69403545,16.76789843,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,17.39745358,16.71637006,FALSE,FALSE,17.44146915,2,17.0328884,16.84738134,16.70947619,17.48366755,17.73210198,FALSE,16.61570326,16.89333544,100; 100,10; 10,FALSE,16.97250735,16.90999372,16.88820148,17.00282979,17.03674387,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,15.03,1
0.1,16.9513781,16.88191,16.69403545,16.76789843,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,16.23034602,16.84738134,16.87305046,16.57609756,16.53091314,FALSE,16.61570326,16.89333544,70; 100,30; 15,FALSE,16.97250735,16.90999372,16.88820148,16.78803364,16.76884921,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.63558567,100,16.90864407,FALSE,18,1
0.1,16.9513781,16.88191,16.69403545,16.76789843,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,16.23034602,16.84738134,16.87305046,16.57609756,16.53091314,FALSE,16.61570326,16.89333544,70; 100,30; 15,FALSE,16.97250735,16.90999372,16.88820148,16.78803364,16.76884921,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.63558567,100,16.90864407,FALSE,14.96,1
0.1,16.9513781,16.88191,16.69403545,16.76789843,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,16.23034602,16.84738134,16.87305046,16.57609756,16.53091314,FALSE,16.61570326,16.89333544,70; 100,30; 15,FALSE,16.97250735,16.90999372,16.88820148,16.78803364,16.76884921,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.63558567,100,16.90864407,FALSE,17.01,1
0.1,16.9513781,16.88191,16.69403545,16.76789843,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,16.23034602,16.84738134,16.87305046,16.57609756,16.53091314,FALSE,16.61570326,16.89333544,70; 100,30; 15,FALSE,16.97250735,16.90999372,16.88820148,16.78803364,16.76884921,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.63558567,100,16.90864407,FALSE,15.6,1
0.1,16.9513781,16.88191,16.69403545,16.76789843,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,16.23034602,16.84738134,16.87305046,16.57609756,16.53091314,FALSE,16.61570326,16.89333544,70; 100,30; 15,FALSE,16.97250735,16.90999372,16.88820148,16.78803364,16.76884921,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.63558567,100,16.90864407,FALSE,15.04,1
0.1,16.9513781,16.88191,16.69403545,16.76789843,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,16.23034602,16.84738134,16.87305046,16.57609756,16.53091314,FALSE,16.61570326,16.89333544,70; 100,30; 15,FALSE,16.97250735,16.90999372,16.88820148,16.78803364,16.76884921,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.63558567,100,16.90864407,FALSE,17.18,1
0.1,16.9513781,16.88191,16.69403545,16.76789843,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,16.23034602,16.84738134,16.87305046,16.57609756,16.53091314,FALSE,16.61570326,16.89333544,70; 100,30; 15,FALSE,16.97250735,16.90999372,16.88820148,16.78803364,16.76884921,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.63558567,100,16.90864407,FALSE,17.02,1
0.1,16.9513781,16.88191,16.69403545,16.76789843,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,16.23034602,16.84738134,16.87305046,16.57609756,16.53091314,FALSE,16.61570326,16.89333544,70; 100,30; 15,FALSE,16.97250735,16.90999372,16.88820148,16.78803364,16.76884921,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,1,16.63558567,100,16.90864407,FALSE,15.47,1
0.11,16.80675605,16.97774088,16.08132813,16.34141762,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,16.73240854,16.76402135,TRUE,16.7778125,16.89333544,100,15,FALSE,16.42651769,16.27257702,16.88820148,16.50112676,16.94609354,16.92919141,16.89492723,TRUE,16.72207464,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,15.6,1
0.11,16.80675605,16.97774088,16.08132813,16.34141762,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,16.73240854,16.76402135,TRUE,16.7778125,16.89333544,100,15,FALSE,16.42651769,16.27257702,16.88820148,16.50112676,16.94609354,16.92919141,16.89492723,TRUE,16.72207464,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,15.3,1
0.11,16.80675605,16.97774088,16.08132813,16.34141762,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,1,16.94809365,16.94558657,16.99358663,16.73240854,16.76402135,TRUE,16.7778125,16.89333544,100,15,FALSE,16.42651769,16.27257702,16.88820148,16.50112676,16.94609354,16.92919141,16.89492723,TRUE,16.72207464,16.90744266,16.91091507,TRUE,1,16.96681304,100,16.90864407,FALSE,16.2,1
0.1,16.80675605,16.97774088,16.74590643,16.76789843,16.89816499,16.75921212,16.79321917,16.90256995,16.90295775,16.83287529,16.83358384,FALSE,FALSE,16.81074557,2,17.0328884,16.84738134,16.91421255,17.48366755,16.92887946,FALSE,16.61570326,16.89333544,100; 100,5; 10,FALSE,17.34369681,16.90999372,16.88820148,16.78803364,16.94609354,16.92919141,16.89492723,FALSE,16.90759836,16.90744266,16.91091507,TRUE,12,16.85584454,100,16.90864407,FALSE,15.67,1
