Cell_area_measured,Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_thickness,ETL_deposition_procedure,Perovskite_dimension_list_of_layers,Perovskite_composition_a_ions,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions,Perovskite_composition_c_ions_coefficients,Perovskite_composition_inorganic,Perovskite_composition_leadfree,Perovskite_band_gap,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_procedure,Perovskite_deposition_aggregation_state_of_reactants,Perovskite_deposition_synthesis_atmosphere,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_quenching_induced_crystallisation,Perovskite_deposition_quenching_media,Perovskite_deposition_quenching_media_volume,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Perovskite_deposition_solvent_annealing,HTL_stack_sequence,HTL_thickness_list,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_thickness_list,Backcontact_deposition_procedure,Backcontact_deposition_synthesis_atmosphere,Encapsulation,Encapsulation_stack_sequence,Encapsulation_edge_sealing_materials,Encapsulation_atmosphere_for_encapsulation,JV_measured,JV_average_over_n_number_of_cells,JV_test_atmosphere,JV_light_intensity,JV_light_spectra,JV_light_masked_cell,JV_default_PCE,JV_default_Voc,JV_default_Jsc,JV_default_FF,Type
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.1Cs0.1Rb0.05,1,Pb,1,I0.6Br0.4,3,FALSE,FALSE,1.77,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.87,1.11,23.27,80.69,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.1Cs0.1Rb0.05,1,Pb,1,I0.6Br0.4,3,FALSE,FALSE,1.77,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.09,1.13,22.51,78.89,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.1Cs0.1Rb0.05,1,Pb,1,I0.6Br0.4,3,FALSE,FALSE,1.77,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.14,1.14,22.25,79.29,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.1Cs0.1Rb0.05,1,Pb,1,I0.6Br0.4,3,FALSE,FALSE,1.77,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.73,1.13,23.13,79.19,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.1Cs0.1Rb0.05,1,Pb,1,I0.6Br0.4,3,FALSE,FALSE,1.77,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.28,1.13,22.81,78.59,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.1Cs0.1Rb0.05,1,Pb,1,I0.6Br0.4,3,FALSE,FALSE,1.77,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.26,1.13,23.02,77.79,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.1Cs0.1Rb0.05,1,Pb,1,I0.6Br0.4,3,FALSE,FALSE,1.77,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,20.60 ,1.12,22.77 ,80.56,
0.08,pin,ITO,PCBM | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.05Cs0.05Rb0.05,1,Pb,1,I0.95Br0.05,3,FALSE,FALSE,1.6,1,Spin-coating,Liquid,N2,DMF; DMSO,7; 3,TRUE,EA,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,22.55,1.17,24.19,79.53,3
0.08,pin,ITO,PCBM | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.05Cs0.05Rb0.05,1,Pb,1,I0.95Br0.05,3,FALSE,FALSE,1.6,1,Spin-coating,Liquid,N2,DMF; DMSO,7; 3,TRUE,EA,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,21.60 ,1.02,26.58,79.23,
0.08,pin,ITO,PCBM | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.05Cs0.05Rb0.05,1,Pb,1,I0.95Br0.05,3,FALSE,FALSE,1.6,1,Spin-coating,Liquid,N2,DMF; DMSO,7; 3,TRUE,EA,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,24.54,1.16,26.09,80.93,
0.08,pin,ITO,PCBM | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.05Cs0.05Rb0.05,1,Pb,1,I0.95Br0.05,3,FALSE,FALSE,1.6,1,Spin-coating,Liquid,N2,DMF; DMSO,7; 3,TRUE,EA,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,23.88,1.16,25.29,81.23,
0.08,pin,ITO,PCBM | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.05Cs0.05Rb0.05,1,Pb,1,I0.95Br0.05,3,FALSE,FALSE,1.6,1,Spin-coating,Liquid,N2,DMF; DMSO,3; 1,TRUE,EA,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,21.31,1.14,23.79,78.43,
0.08,pin,ITO,PCBM | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.05Cs0.05Rb0.05,1,Pb,1,I0.95Br0.05,3,FALSE,FALSE,1.6,1,Spin-coating,Liquid,N2,DMF; DMSO,3; 1,TRUE,EA,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,25.16,1.17,25.69,83.53,
0.08,pin,ITO,PCBM | BCP,30 | 7,evaporating | evaporating,3,FA0.85MA0.05Cs0.05Rb0.05,1,Pb,1,I0.95Br0.05,3,FALSE,FALSE,1.6,1,Spin-coating,Liquid,N2,DMF; DMSO,3; 1,TRUE,EA,Unknown,100,10,FALSE,SAM(MeO-2PACZ),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,21.60 ,1.16,22.79,81.53,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.15Cs0.05Rb0.05,1,Pb,1,I0.75Br0.25,3,FALSE,FALSE,1.68,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,20,FALSE,SAM(SAM301),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,21.32,1.13,23.81,79.14,4
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.15Cs0.05Rb0.05,1,Pb,1,I0.75Br0.25,3,FALSE,FALSE,1.68,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,20,FALSE,SAM(SAM301),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,21.25,1.13,23.84,79.15,
0.08,pin,ITO,PCBM | BCP,30 | 7,Spin-coating | Spin-coating,3,FA0.75MA0.15Cs0.05Rb0.05,1,Pb,1,I0.75Br0.25,3,FALSE,FALSE,1.68,1,Spin-coating,Liquid,N2,DMF; DMSO,4; 1,TRUE,Chlorobenzene,Unknown,100,20,FALSE,SAM(SAM301),,Spin-coating,Cu,100,Evaporation,Vaccum,FALSE,Unknown,Unknown,Unknown,TRUE,1,N2,100,AM 1.5,FALSE,21.02,1.14,23.65,78.13,
